title,year,first_pg,last_pg,authors,schools,article_type,volume,issue,abstract,keywords,url,article_url_list_index
REVIEWERS: Journal of Engineering Education,1993,243,244,na,na,NA,82,4,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01083.x,10
The Academic Bookshelf,1993,297,299,Karl A. Smith,Civil Engineering University of Minnesota,NA,82,4,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01084.x,11
The Editor's Page,1993,135,135,Edward W. Ernst,na,NA,82,3,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00091.x,12
Striving for Balance: A Hundred Years of the American Society for Engineering Education,1993,136,151,Terry S. Reynolds***Bruce E. Seely,Michigan Technological University***Michigan Technological University,NA,82,3,"This paper provides an overview of the history of the American Society for Engineering Education (ASEE) from its founding in 1893 to the present. The authors see two major continuities in the organization's hundred year history: the search for methods of improving classroom instruction and the pursuit of national recognition as the spokesman for engineering education. An organization concerned with classroom teaching draws its strength from the ranks of teaching faculty; an organization seeking national visibility must draw its leaders from administrators, especially deans. ASEE's history is viewed as an continuing effort to balance these two broad purposes within a single organization.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00092.x,13
Performance Prediction and Enhancement in an Introductory Physics Course for Engineers,1993,152,156,Edward W. Thomas,"School of Physics Georgia Institute of Technology, Atlanta",NA,82,3,Performance in an introductory physics course for engineers is examined. Class performance is compared with the results of a diagnostic test taken at the start of a course and with performance in preceding classes. The best predictor of performance is found to be prior achievement; the diagnostic tests of basic skills is a poor predictor. It was demonstrated that repeated execution of a particular physics word problem leads to enhanced success and decreased failure; failure decreases by approximately 50% at each exposure. But the improved success on a particular word problem does not translate to a generally improved performance on all problems of its type. An intervention strategy based on repeated performance of “skills” problems does however translate into improved class performance and results in a 30 % decrease in the number of students who achieve unacceptable grades.,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00093.x,14
Barriers to Increased Engineering Graduate Enrollments: Counterforces and Their Implementation,1993,157,162,Robert G. Batson***Thomas Wayne Merritt***Carl F. Williams,Department of Industrial Engineering The University of Alabama***The Graduate School The University of Alabama***Department of Industrial Engineering The University of Alabama,NA,82,3,"This paper highlights the role of the faculty member in recruiting students currently enrolled in B.S. programs in engineering and the sciences into full-time pursuit of a graduate-level engineering degree. The faculty member is demonstrated to be in a unique position to influence such students, providing strong counterforces to a confluence of attitudes and pressures experienced during the B.S. experience which effectively create a barrier to full-time engineering graduate study. We analyze this barrier via the method of force field analysis, and demonstrate that effective recruitment into full-time graduate study must be based on a four-fold strategy of education, expectations, improved B.S. experience and better control of the B.S. environment. Approaches to implement these strategies are discussed.",Force field analysis***graduate student recruitment,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00094.x,15
Changes Among ASEE Creativity Workshop Participants,1993,167,170,Douglass J. Wilde,"Design Division, Mechanical Engineering Department Stanford",NA,82,3,"In 1989, 1990 and 1991 the American Society for Engineering Education (ASEE) sponsored a two-week summer workshop on “Integration of Creativity into the Mechanical Engineering Curriculum” at Stanford University. As part of a demonstration of individual differences in information-seeking and decision-making, the Myers-Briggs Type Indicators (MBTI) were determined at the beginning and end of the workshop for 22 of the participants and the 3 facilitators. From each MBTI score was computed a “Creativity Index” (CI) developed by the Institute for Personality Assessment (IPAR) from studies of several hundred creative people in various creative professions. On the average, the mean CI for the workshop participants increased, statistically significantly, from a number typical for engineering students to one more characteristic of practicing architects.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00096.x,17
The Entry-Level Engineer: Problems in Transition from Student to Professional,1993,171,174,Susan M. Katz,Rensselaer Polytechnic Institute,NA,82,3,"When students enter the workforce, they must make a transition from an academic to a professional role. This study, based on interviews with professional engineers in supervisory roles, suggests that many basic skills required in the workplace, including the ability to work on a team and to communicate with one's peers and supervisors, are missing or insufficiently developed in recent college graduates. Many employers have programs to overcome these deficiencies, but we should also consider what we as educators can do to better prepare students for their future roles, and what students themselves can do to ease the transition.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00097.x,18
Introducing Breadth and Depth in the Humanities and Social Sciences into an Engineering Student's General Education Curriculum,1993,175,180,Peter Blewett,University of Massachusetts Lowell,NA,82,3,"Engineering curricula can include the breadth and depth in the humanities and social sciences that both ABET and sound educational theory require if the general education program is organized into lower and upper divisions distributed over four years. Then during the last two years, small clusters of upper level courses built around agreed-upon themes and requirements can offer students some elective choice while providing coherence among the courses. Thus an institution can develop an alternative to both restrictive, required CORES and loose area-distribution curricula. Furthermore, by involving them in the planning, construction, implementation and governance of the clusters, faculty from outside engineering disciplines, will be engaged in the curriculum instead of being only employed in it.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00098.x,19
Humanities for Undergraduate Engineers: A Rich Paradox,1993,181,184,John K. Andrews***Guy T. McBride***E. Dendy Sloan,Independence Institute***Colorado School of Mines***Colorado School of Mines,NA,82,3,"We present a freshman seminar entitled “Paradoxes of the Human Condition,” aimed at the integration of humanistic concerns into the daily lives of engineers and scientists. The philosophy, pedagogical basis, and preliminary evaluation are given for this course, which examines four paradoxes: the heroic paradox, the paradox of freedom and necessity, the paradox of absolute and relative, and the paradox of life and death. The course is discussed in the context of an interdisciplinary program, the Honors Program in Public Affairs for Engineers.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00099.x,20
Applied Aerodynamics Experience for Secondary Science Teachers and Students,1993,185,188,John D. Abbitt***Bruce F. Carroll,"Department of Aerospace Engineering, Mechanics & Engineering Science University of Florida***Department of Aerospace Engineering, Mechanics & Engineering Science University of Florida",NA,82,3,"The Department of Aerospace Engineering, Mechanics & Engineering Science at the University of Florida in conjunction with the School Board of Alachua County, Florida has embarked on a four-year project of university-secondary school collaboration designed to enhance mathematics and science instruction in secondary school classrooms. The goals are to provide teachers with a fundamental knowledge of flight sciences as well as stimulate interest among students, particularly women and minorities, toward careers in engineering, mathematics, and science. In the first year, all thirteen of the county's eighth grade physical science teachers and their 1200 students participated. The activities included a three-day college level seminar for the teachers, several weeks of classroom instruction for all the students, and an airport field trip for a subgroup of about 400 students that included an orientation flight in a Cessna 172 aircraft. The project brought together large numbers of middle school students, teachers, undergraduate and graduate engineering students, school administrators, and university engineering faculty. In Year 2, we are expanding our coverage and improving our minority outreach by offering the program to additional counties and the Florida Comprehensive State Center for Minorities. We are also introducing a program to recruit undergraduate minority engineering students for teaching careers by teaming these students with middle school teacher “mentors”, and having them work with teachers in the classroom.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00100.x,21
The Academic Bookshelf,1993,189,190,Lyle D. Feisel,State University of New York at Binghamton,NA,82,3,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00101.x,22
Author Biographies,1993,191,193,na,na,NA,82,3,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00102.x,23
The Editor's Page,1993,65,65,na,na,NA,82,2,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00077.x,24
A Context for Change in Engineering: Education,1993,66,69,Karl S. Pister,"University of California, Santa Cruz",NA,82,2,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00078.x,25
Use of the Kolb Learning Cycle and the 4MAT System in Engineering Education,1993,70,77,John N. Harb***S. Olani Durrant***Ronald E. Terry,Chemical Engineering Brigham Young University***Civil Engineering Brigham Young University***Chemical Engineering Brigham Young University,NA,82,2,"The purpose of this paper is to examine a method for the application of learning style theory to engineering education. Research has shown that students learn in a variety of different ways, and that each student has a preferred style of learning. Teaching effectiveness may be enhanced by teaching to each of the preferred styles at least a portion of the time. The application of learning style theory in this paper is based on the work of Kolb who identified four principal learning styles or types. The process of teaching to each of the four learning styles is referred to as “teaching through the cycle.” The learning cycle consists of four quadrants, each of which is associated with a particular learning style or preference. This paper defines specific objectives for each of the four learning quadrants. In addition, activities which can be used to accomplish these objectives are presented and discussed. Sample lesson plans have also been included in order to illustrate application of the learning cycle to the teaching of specific engineering topics.",Learning styles***Learning cycle***Engineering education,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00079.x,26
Women Engineers: A Study of Educational Preparation and Professional Success,1993,78,82,Debra A.G. Robinson***Barbara Ann Reilly,"Development University of Missouri-Rolla***Fru-Con Engineering Inc. St. Louis, Missouri University of Missouri-Rolla, Alumnae",NA,82,2,"In an effort to better understand the educational experiences and professional issues facing women in these fields, a survey of women alumnae was conducted. Respondents seemed fairly pleased with the education they received and were heavily influenced by personal aspects of the campus. Relationships with faculty members were described as their most beneficial and detrimental experiences. They particularly liked opportunities to apply their technical knowledge but did not believe there were enough opportunities for application. The need for more female role models and importance of involvement in student organizations were cited by many of the respondents. Self-confidence and good communication skills were rated as the most important qualities for professional success and advancement. Alumnae have pursued training experiences since graduation, but would like to see more opportunities to enhance communication and personal management skills and apply theoretical knowledge built into the undergraduate experience. The findings are discussed in relationship to previous research studies and recommendations are made to improve the technically oriented college environment.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00080.x,27
A Freshman Engineering Design Course,1993,83,91,J. W. Dally***G. M. Zhang,Department of Mechanical Engineering***Department of Mechanical Engineering and Institute for Systems Research University of Maryland,NA,82,2,"At the University of Maryland at College Park, a new freshman engineering design course introduces design through a project approach. This approach has three phases: design, manufacturing and assembly. First, students learn basic engineering concepts by designing a simple product. Next, they manufacture and/or procure the product's components. Finally, they assemble the components and test the finished product. Since drawings for this product are part of the project, students must also learn entry-level computer graphics. Reaction to teaching design so early in the engineering curriculum has been extremely favorable. Students are highly motivated by the design approach and, as a result, learn engineering fundamentals, develop critical thinking skills, learn to cooperate as team members and gain practical hands-on experience.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00081.x,28
Designing a Senior Capstone Course to Satisfy Industrial Customers,1993,92,100,Robert H. Todd***Carl D. Sorensen***Spencer P. Magleby,Department of Manufacturing Engineering and Engineering Technology***Department of Manufacturing Engineering and Engineering Technology***Department of Mechanical Engineering Brigham Young University,NA,82,2,"It is sometimes forgotten that industry is an important customer of engineering education. Ignoring this relationship has produced graduates that often fail to meet the changing needs of industry in today's competitive environment. On the basis of feedback from our industrial customers, faculty from Mechanical Engineering and Manufacturing Engineering at Brigham Young University have jointly developed a new senior capstone design course entitled “Integrated Product and Process Design.” This new capstone course is centered on industrial design and manufacturing projects. These projects involve both product and process design activities. Multidisciplinary teams of students are taught a structured development approach to produce typical industrial deliverables. These deliverables include a functional specification, product and process design, prototype, and first production sample. This paper identifies changing industrial needs, describes how the course was designed to meet these needs, and presents results from the initial offerings of the course.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00082.x,29
Development of an Air Quality Program at the University of Illinois at Urbana-Champaign,1993,101,108,Susan M. Larson***Mark J. Rood,Department of Civil Engineering University of Illinois***Department of Civil Engineering University of Illinois,NA,82,2,"Interdisciplinary curricula, such as environmental engineering, are faced with the challenge of developing unified sets of courses for students from a variety of academic backgrounds. In addition to providing a rigorous technical education, engineering education should foster development of the professional skills that students need in the future, such as laboratory, computer, communication and teamwork abilities, and independence and creativity. This program improvement project integrated traditional lectures with carefully designed assignments, experiments, and demonstrations to teach principles of air quality in environmental engineering. Computer simulations helped students develop a better intuitive understanding of fundamental air quality phenomena. Field trips served to illustrate applications of classroom concepts, and an instructional laboratory was developed to teach students the essential techniques of air quality monitoring. The classroom and laboratory were also used as a supportive environment in which students learned professional skills applicable to graduate studies or professional employment. Students wrote “journal articles,” complete with peer review and revisions as part of a term project. Laboratory projects were used to introduce students to the techniques of writing proposals, and a professional style “class conference” gave students practice in making scientific presentations.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00083.x,30
Choosing the Ph.D. Path: A Multi-Criteria Model for Career Decisions,1993,109,117,Nancy L. Mills***Paul R. McCright,University of Southern Colorado***Kansas State University,NA,82,2,"A interactive, multi-criteria decision model was developed using Criterium software to help students assess alternative career paths: undertaking graduate study leading to an engineering doctoral degree and an academic career versus pursuing a career as an engineer in industry. The use of the model enables consideration of multiple factors, which may represent conflicting objectives and which have different measures of value (quantitative and qualitative) and different levels of importance to the decision. The model should assist its users in more carefully and thoroughly evaluating the criteria that affect career choices. We hope that its use may also help reduce the impending shortage of engineering faculty by encouraging more students to consider careers as engineering professors.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00084.x,31
A European Outlook on Engineering Design in Education,1993,118,122,W. Ernst Eder,Department of Mechanical Engineering Royal Military College of Canada,NA,82,2,"An attempt is made to provide a comparison with the situation concerning engineering education in a part of Europe. The survey outlines general aspects of pre-professional and professional education for engineers, particularly with respect to engineering design, and indicates some historic and current developments in design thinking and theory.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00085.x,32
Technology and the Engineering Method for Non-Engineering Students,1993,123,125,Kevin J. Myers,Department of Chemical and Materials Engineering University of Dayton,NA,82,2,"This paper describes the structure, material, and techniques used in a course that introduces non-engineering students to the tasks and tools of the engineering profession. The primary components of the course include differentiation between engineering and science, heuristic and computational problem solving, experimentation, conservation principles, and a design experience.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00086.x,33
Senior/Sophomore Co-Class Instruction: Teaching Interpersonal Management Skills in Engineering,1993,126,129,Bernard Y. Tao,Department of Agricultural Engineering Purdue University,NA,82,2,"As society becomes increasingly technology-oriented, there is a growing demand for engineers and scientists to take a greater role in decision-making processes. The future success of our engineering graduates will increasingly depend on not only solid training in scientific and engineering principles, but also a more rigorous education in interpersonal management skills (IPMS). Co-class instruction of sophomore and senior engineering students provides an efficient educational structure to incorporate IPMS education into an existing engineering curriculum. Co-class instruction provides opportunities for senior students to experience direct subordinate supervisory technical management, develop project management skills, formally evaluate personnel performance and improve faculty/student contact. Younger students gain opportunities to see how their engineering education is applied and gives them an opportunity to network with graduating students. Co-class instruction did not significantly increase instructor workload, but does require that one instructor teach both sophomore and senior classes concurrently. Given the similarity in engineering curriculum structure, this method should be easily applicable to a wide range of engineering disciplines. indicate that students are highly receptive to co-class instruction, with excellent feedback.",engineering education***management***interpersonal skills***teaching techniques,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00087.x,34
The Academic Bookshelf,1993,130,131,Lyle D. Feisel,State University of New York at Binghamton,NA,82,2,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00088.x,35
Author Biographies,1993,132,134,na,na,NA,82,2,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00089.x,36
Personal and Professional Enrichment: Humanities in the Engineering Curriculum,1993,141,146,Valarie Meliotes Arms,Department of Humanities and Communications Drexel University,NA,82,2,"The Drexel E4 approach to engineering education has evolved from emphases on teamwork and course integration to include an emphasis on faculty development through the Personal and Professional Enrichment component. One of the four components of the curriculum which are described elsewhere, the Personal and Professional Enrichment Program, encompasses a short orientation course and the year long Humanities sequence. The orientation course, taught by all the team members, provides a forum for faculty as well as students to discuss personal and educational goals. It also provides faculty with a social arena which has become important in developing and maintaining the strong sense of community the team shares. The faculty have profited from talking about themselves as individuals, as much as the students who have discovered professionals as role models—concerned citizens and parents, and lifelong learners. Students are introduced to engineering as a profession that requires not only technological skills but also an awareness of ethics, of the need for lifelong learning, and of the importance of Humanities. It is important to note that the technical faculty teach the introductory course and thus themselves attest to the value of humanistic concerns throughout the entire program. Continuing the integration of goals as well as subjects, the Humanities curriculum includes the traditional sequence in reading, writing, and research skills with an emphasis on technical writing, visuals and oral presentation skills. Meritorious texts are chosen to highlight humanistic concerns about the impact of technology so that students recognize the engineers' obligation to the world we all share. By enhancing communication skills, developing an awareness of audience and expanding their imagination, students gain confidence in expressing creative and responsible attempts at solving engineering problems.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00090.x,37
The Editor's Page,1993,1,1,Edward W. Ernst,na,NA,82,1,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00063.x,38
The Academic Bookshelf,1993,2,2,Lyle D. Feisel,State University of New York at Binghamton,NA,82,1,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00064.x,39
Engineering Education: Innovation Through Integration,1993,3,8,Joseph Bordogna***Eli Fromm***Edward W. Ernst,University of Pennsylvania***Drexel University***University of South Carolina,NA,82,1,"The several reports and papers of the past decade suggesting paradigm shifts in engineering education are shown to reveal a common theme, to wit: engineering is an integrative process and thus engineering education, particularly at the baccalaureate level, should be designed toward that end. Suggesting a change in intellectual culture, the roots of contemporary collegiate education in the United States are traced to their origin and attention is given to discussing the current emphasis on reductionism vis-à-vis integration or, said another way, a course-focused education compared to a more holistic approach in which process and knowledge are woven throughout the curriculum. A new construct for systemic change in baccalaureate engineering education is suggested in terms of a taxonomy of intellectual components connected holistically with a core focus on developing human potential, as opposed to the present system in which students are passed serially through course filters.",Innovation***Integration***Connections***Education,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00065.x,40
On College Teaching,1993,9,14,K. Patricia Cross,"University of California, Berkeley",NA,82,1,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00066.x,41
A Longitudinal Study of Engineering Student Performance and Retention: I. Success and Failure in the Introductory Course,1993,15,21,Richard M. Felder***Krista D. Forrest***Lynne Baker-Ward***E. Jacquelin Dietz***Phyllis H. Mohr,Department of Chemical Engineering North Carolina State University***Department of Psychology North Carolina State University***Department of Psychology North Carolina State University***Department of Statistics North Carolina State University***College of Engineering North Carolina State University,NA,82,1,"A profile of 124 students enrolled in an introductory chemical engineering course has been assembled. The information collected includes data on family and educational backgrounds, profiles on the Myers-Briggs Type Indicator and the Learning and Study Strategies Inventory, and responses to a questionnaire regarding attitudes and expectations. Student performance in the introductory course was correlated with the assessment data. The results suggest several significant predictors of success or failure in the introductory course, and by extension, in the chemical engineering curriculum.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00067.x,42
Teaching versus Research—Incompatibility or Overemphasis?,1993,22,26,Phillip S. Myers,"Mechanical Engineering, University of Wisconsin-Madison",NA,82,1,"There is a perceived conflict between teaching and research. Is this perceived conflict the result of basic incompatibility between teaching and research or over emphasis on one or the other of the two factors? An analysis of the different audiences to which Professors profess is presented, and it is concluded that the problem is under emphasis on teaching. This under emphasis on teaching results from a lack of commitment of resources to evaluating and rewarding formal classroom teaching, the avoidance of painful decisions, and time pressures. The challenges are to develop and apply an accepted procedure for measuring the quality of teaching, to provide realistic opportunities for continued professional development, and to provide the time required to meet both research and teaching expectations, especially for probationary faculty. Suggestions for meeting these challenges are made.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00068.x,43
Developing an Environmentally Friendly Engineering Ethic: A Course for Undergraduate Engineering Students,1993,27,33,George D. Catalano,Departmant of Mechanical Engineering Louisianna State University,NA,82,1,"An undergraduate course designed to develop a new, environmentally-friendly, engineering ethic is described. The various components of the course are: individual and societal values clarification, the current state of the environment, critical and creative thinking skills development and conflict resolution. For each component, the rationale is given along with activities and evaluation of the unit.",Environment***Ethics***Critical and Creative Thinking Skills,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00069.x,44
Profile of a Nurturing College Professor,1993,34,37,Jorge Haddock,Department of Decision Sciences and Engineering Systems Rensselaer Polytechnic Institute,NA,82,1,"This paper describes a college professor who believes that being a good role model involves more than being professionally competent. It is argued that professors can improve the quality of teaching by becoming more sensitive to the students' needs and by understanding and appreciating their individuality. The paper discusses the role of the professor in creating an environment where the students feel comfortable being themselves and enjoy the whole experience of learning. In this environment students can feel that they are important, that their needs are important, and that other people experience joy in helping them get their needs met. It is also argued that when the teacher is able to focus on assisting the students in meeting their needs, the teacher's needs get met. To conclude, the author presents a personal reflection on his own experiences as an engineering student and professor.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb00070.x,45
